Año;Mes;División;Grupo;Clase;Subclase;Producto;Glosa;Ponderación;Índice;Variación Mensual ( % );Variación Acumulada ( % );Variación 12 Meses ( % );Incidencia Mensual ( % );Incidencia Acumulada ( % );Incidencia 12 Meses ( % ),,,,,,,,,,,
2014;1;5;1;2;;;SERVICIO DE REPARACIÓN DE MUEBLES;0,04053;104,73;0,0;0,0;;0,000;0,000;,,,,,
2014;1;6;1;2;;;OTROS PRODUCTOS MÉDICOS;0,09425;102,10;0,0;0,0;;0,000;0,000;,,,,,
2014;1;7;1;2;;;MOTOCICLETAS;0,10059;100,21;0,5;0,5;;0,001;0,001;,,,,,
2014;1;9;1;2;;;EQUIPOS FOTOGRÁFICOS;0,17316;99,08;1,4;1,4;;0,002;0,002;,,,,,
2014;1;12;1;2;;;PRODUCTOS PARA EL CUIDADO E HIGIENE PERSONAL;2,37532;100,98;-0,6;-0,6;;-0,013;-0,013;,,,,,
2014;1;1;2;2;;;AGUAS MINERALES, REFRESCOS, GASEOSAS Y JUGOS DE FRUTA;1,7214;100,62;-0,7;-0,7;;-0,012;-0,012;,,,
2014;1;4;2;2;;;SERVICIOS PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA;0,97474;105,62;0,8;0,8;;0,008;0,008;,,,,,
2014;1;6;2;2;;;SERVICIOS DENTALES;0,99702;101;0,5;0,5;;0,005;0,005;,,,,,,
2014;1;7;2;2;;;COMBUSTIBLES Y LUBRICANTES PARA VEHÍCULOS DE TRANSPORTE PERSONAL;3,84883;102,80;2,1;2,1;;0,080;0,080;,,,,,
2014;1;9;2;2;;;EQUIPOS DEPORTIVOS, CAMPING Y RECREACIÓN;0,32801;99,38;3,0;3,0;;0,009;0,009;,,,,
2014;1;12;2;2;;;OTROS ARTÍCULOS PERSONALES;0,40482;94,40;-2,4;-2,4;;-0,009;-0,009;,,,,,
2014;1;4;3;2;;;SERVICIO DE RETIRO DE BASURA;0,13524;102,00;0,0;0,0;;0,000;0,000;,,,,,
2014;1;5;3;2;;;PEQUEÑOS ARTEFACTOS PARA EL HOGAR;0,20247;99,42;-0,1;-0,1;;0,000;0,000;,,,,,
2014;1;7;3;2;;;TRANSPORTE DE PASAJEROS POR AIRE;0,52102;100,89;-6,3;-6,3;;-0,035;-0,035;,,,,,
2014;1;9;3;2;;;SERVICIOS CULTURALES;0,81205;100,81;2,6;2,6;;0,020;0,020;,,,,,
2014;1;4;4;2;;;GAS;1,74851;106,68;-0,7;-0,7;;-0,013;-0,013;,,,,,
2014;1;9;4;2;;;DIARIOS;0,07671;99,99;0,0;0,0;;0,000;0,000;,,,,,
2014;1;5;6;2;;;SERVICIOS DOMÉSTICOS PARA EL HOGAR;2,645;102,78;0,2;0,2;;0,006;0,006;,,,,,
2014;1;1;1;3;;;PESCADOS Y MARISCOS;0,56865;107,27;3,3;3,3;;0,019;0,019;,,,,,
2014;1;2;1;3;;;CERVEZAS;0,63816;101,31;1,2;1,2;;0,008;0,008;,,,,,
2014;1;3;1;3;;;ARTÍCULOS Y ACCESORIOS DE VESTIR;0,1557;98,87;0,4;0,4;;0,001;0,001;,,,,,
2014;1;6;1;3;;;ARTEFACTOS Y ARTÍCULOS TERAPÉUTICOS;0,5634;100,79;2,1;2,1;;0,012;0,012;,,,,,
2014;1;7;1;3;;;BICICLETAS;0,06734;99,81;-0,8;-0,8;;-0,001;-0,001;,,,,,
2014;1;9;1;3;;;EQUIPOS DE PROCESAMIENTO INFORMÁTICO;0,87422;102,02;0,2;0,2;;0,002;0,002;,,,,,
2014;1;6;2;3;;;SERVICIOS PARAMÉDICOS;0,87062;101,17;0,5;0,5;;0,004;0,004;,,,,,
2014;1;7;2;3;;;CONSERVACIÓN Y REPARACIÓN DE VEHÍCULOS DE TRANSPORTE PERSONAL;0,85183;101,32;0,2;0,2;;0,002;0,002;,,,,,
2014;1;9;2;3;;;JARDINERÍA Y FLORES;0,15616;98,90;0,8;0,8;;0,001;0,001;,,,,,
2014;1;4;3;3;;;OTROS SERVICIOS RELACIONADOS CON LA VIVIENDA;1,06095;104,82;3,5;3,5;;0,037;0,037;,,,,,
2014;1;5;3;3;;;REPARACIÓN DE ARTEFACTOS PARA EL HOGAR;0,05318;101,89;0,9;0,9;;0,000;0,000;,,,,,
2014;1;7;3;3;;;TRANSPORTE COMBINADO DE PASAJEROS;1,29498;101,49;0,0;0,0;;0,000;0,000;,,,,,
2014;1;9;3;3;;;JUEGOS DE AZAR;0,04685;100;0,0;0,0;;0,000;0,000;,,,,,,
2014;1;4;4;3;;;OTROS COMBUSTIBLES DE USO DOMÉSTICO;0,36596;101,46;1,0;1,0;;0,003;0,003;,,,,,
2014;1;9;4;3;;;ARTÍCULOS ESCOLARES Y DE ESCRITORIO;0,32243;100,04;-0,4;-0,4;;-0,001;-0,001;,,,,,
